Id,Song Name,Artist id,Artist,Album Name,Release Date,Popularity,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Artist_followers,Genre
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),2wY79sveU1sp5g7SokKOiI,Sam Smith,Unholy (feat. Kim Petras),2022-09-22,100,,0.013,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,0.714,156943.0,0.472,3nqQXoyQOWXiESFLlDF1hG,4.51e-06,2.0,0.266,-7.375,1.0,0.0864,131.121,4.0,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,audio_features,spotify:track:3nqQXoyQOWXiESFLlDF1hG,0.238,20816519,"['dance pop', 'pop', 'uk pop']"
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",716NhGYqD1jl2wI1Qkgq36,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,97,,0.0125,https://api.spotify.com/v1/audio-analysis/2tTmW7RDtMQtBk7m2rYeSw,0.621,198938.0,0.782,2tTmW7RDtMQtBk7m2rYeSw,0.033,2.0,0.23,-5.548,1.0,0.044,128.033,4.0,https://api.spotify.com/v1/tracks/2tTmW7RDtMQtBk7m2rYeSw,audio_features,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,0.55,7863085,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,I'm Good (Blue),2022-08-26,97,,0.00383,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,0.561,175238.0,0.965,4uUG5RXrOk84mYEfFvj3cK,7.07e-06,7.0,0.371,-3.673,0.0,0.0343,128.04,4.0,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,audio_features,spotify:track:4uUG5RXrOk84mYEfFvj3cK,0.304,25038984,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,06HL4z0CvFAxyc27GXpf02,Taylor Swift,Midnights,2022-10-21,97,,0.13,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,0.637,200690.0,0.643,0V3wPSX9ygBnCm8psDIegu,1.8e-06,4.0,0.142,-6.571,1.0,0.0519,97.008,4.0,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,audio_features,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.533,62687649,['pop']
5ww2BF9slyYgNOk37BlC4u,La Bachata,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,La Bachata,2022-05-26,97,,0.583,https://api.spotify.com/v1/audio-analysis/5ww2BF9slyYgNOk37BlC4u,0.835,162638.0,0.679,5ww2BF9slyYgNOk37BlC4u,1.98e-06,7.0,0.218,-5.329,0.0,0.0364,124.98,4.0,https://api.spotify.com/v1/tracks/5ww2BF9slyYgNOk37BlC4u,audio_features,spotify:track:5ww2BF9slyYgNOk37BlC4u,0.85,10812997,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,3TVXtAsR1Inumwj472S9r4,Drake,Her Loss,2022-11-04,95,,0.0503,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,0.561,239360.0,0.52,1bDbXMyjaUIooNwFE9wn0N,1.86e-06,11.0,0.355,-9.342,0.0,0.244,153.15,3.0,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N,audio_features,spotify:track:1bDbXMyjaUIooNwFE9wn0N,0.424,69088297,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,4q3ewBCX7sLwd24euuV69X,Bad Bunny,Un Verano Sin Ti,2022-05-06,95,,0.0901,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,0.911,178567.0,0.712,6Sq7ltF9Qa7SNFBsV5Cogx,2.68e-05,1.0,0.0933,-5.105,0.0,0.0817,92.005,4.0,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,audio_features,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,0.425,59583011,"['reggaeton', 'trap latino']"
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,95,,0.0826,https://api.spotify.com/v1/audio-analysis/4h9wh7iOZ0GGn8QVp4RAOB,0.704,148486.0,0.797,4h9wh7iOZ0GGn8QVp4RAOB,0.000745,0.0,0.0546,-5.927,1.0,0.0475,139.994,4.0,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,audio_features,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,0.825,14569606,"['piano rock', 'pop']"
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,4q3ewBCX7sLwd24euuV69X,Bad Bunny,Un Verano Sin Ti,2022-05-06,95,,0.0993,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,0.65,243717.0,0.715,1IHWl5LamUGEuP4ozKQSXZ,0.000291,5.0,0.126,-5.198,0.0,0.253,106.672,4.0,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,audio_features,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,0.187,59583011,"['reggaeton', 'trap latino']"
5Eax0qFko2dh7Rl2lYs3bx,Efecto,4q3ewBCX7sLwd24euuV69X,Bad Bunny,Un Verano Sin Ti,2022-05-06,94,,0.141,https://api.spotify.com/v1/audio-analysis/5Eax0qFko2dh7Rl2lYs3bx,0.801,213061.0,0.475,5Eax0qFko2dh7Rl2lYs3bx,1.73e-05,7.0,0.0639,-8.797,0.0,0.0516,98.047,4.0,https://api.spotify.com/v1/tracks/5Eax0qFko2dh7Rl2lYs3bx,audio_features,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,0.234,59583011,"['reggaeton', 'trap latino']"
